ACCT,BAL,ST,LPD,CODATE,TYPE
ACCT-100091,156.86,TX,04/11/2019,04/11/2020,RETAIL
ACCT-100092,214.80,CA,02/23/2020,02/23/2021,medical
ACCT-100093,97.25,TX,,12/02/2022,CREDIT CARD
ACCT-100094,219.34,FL,09/24/2021,09/24/2022,medical
ACCT-100095,204.15,TX,09/23/2019,09/23/2020,TELECOM
ACCT-100096,198.52,FL,12/19/2024,12/19/2025,RETAIL
ACCT-100097,107.46,OH,04/04/2023,04/04/2024,medical
ACCT-100098,55.57,TX,09/15/2024,09/15/2025,RETAIL
ACCT-100099,114.18,TX,02/06/2024,02/06/2025,CREDIT CARD
ACCT-100100,19.66,NY,09/03/2019,09/03/2020,TELECOM
ACCT-100101,"$6,295.16",CA,01/14/2021,01/14/2022,TELECOM
ACCT-100102,236.98,OH,02/23/2024,02/23/2025,TELECOM
ACCT-100103,"$7,337.53",NY,10/17/2019,10/17/2020,Credit Card
ACCT-100104,112.73,TX,11/23/2024,11/23/2025,RETAIL
ACCT-100105,151.65,TX,10/16/2024,10/16/2025,TELECOM
ACCT-100106,169.07,NY,10/15/2019,10/15/2020,medical
ACCT-100107,218.01,OH,03/08/2021,03/08/2022,medical
ACCT-100108,57.51,FL,04/07/2019,04/07/2020,Credit Card
ACCT-100109,46.84,TX,11/01/2022,11/01/2023,Credit Card
ACCT-100110,42.94,CA,03/08/2021,03/08/2022,Credit Card
ACCT-100111,99.61,TX,02/03/2020,02/03/2021,CREDIT CARD
ACCT-100112,231.80,TX,04/07/2019,04/07/2020,medical
ACCT-100113,26.10,OH,04/25/2020,04/25/2021,medical
ACCT-100114,109.64,TX,11/28/2019,11/28/2020,medical
ACCT-100115,34.86,FL,07/03/2019,07/03/2020,TELECOM
ACCT-100116,63.51,TX,11/09/2024,11/09/2025,medical
ACCT-100117,61.38,TX,06/06/2023,06/06/2024,CREDIT CARD
ACCT-100118,237.10,TX,11/08/2022,11/08/2023,TELECOM
ACCT-100119,60.68,TX,05/21/2020,05/21/2021,medical
ACCT-100120,237.08,FL,,07/02/2020,CREDIT CARD
ACCT-100121,27.28,TX,06/17/2023,06/17/2024,RETAIL
ACCT-100122,84.57,NY,04/07/2022,04/07/2023,RETAIL
ACCT-100123,"$5,579.98",TX,03/02/2022,03/02/2023,RETAIL
ACCT-100124,81.37,CA,03/11/2024,03/11/2025,CREDIT CARD
ACCT-100125,"$6,223.46",FL,02/03/2019,02/03/2020,TELECOM
ACCT-100126,98.70,TX,09/18/2019,09/18/2020,TELECOM
ACCT-100127,179.38,OH,,02/15/2022,Credit Card
ACCT-100128,59.82,TX,11/26/2019,11/26/2020,RETAIL
ACCT-100129,"$4,925.58",NY,08/24/2024,08/24/2025,TELECOM
ACCT-100130,109.99,TX,08/18/2019,08/18/2020,medical
ACCT-100131,195.23,TX,03/09/2021,03/09/2022,medical
ACCT-100132,114.41,NY,01/27/2023,01/27/2024,RETAIL
ACCT-100133,68.23,TX,10/05/2022,10/05/2023,CREDIT CARD
ACCT-100134,168.35,TX,09/03/2021,09/03/2022,Credit Card
ACCT-100135,131.72,FL,06/02/2023,06/02/2024,RETAIL
ACCT-100136,"$4,141.81",TX,01/11/2022,01/11/2023,medical
ACCT-100137,61.23,FL,08/06/2021,08/06/2022,CREDIT CARD
ACCT-100138,70.57,CA,11/13/2019,11/13/2020,RETAIL
ACCT-100139,201.37,TX,10/10/2022,10/10/2023,Credit Card
ACCT-100140,62.80,OH,04/11/2021,04/11/2022,CREDIT CARD
ACCT-100141,30.72,FL,03/12/2024,03/12/2025,TELECOM
ACCT-100142,"$5,830.67",TX,01/13/2020,01/13/2021,medical
ACCT-100143,48.02,CA,08/09/2019,08/09/2020,Credit Card
ACCT-100144,"$3,655.53",TX,06/09/2023,06/09/2024,RETAIL
ACCT-100145,234.78,TX,01/07/2023,01/07/2024,CREDIT CARD
ACCT-100146,"$5,881.21",TX,08/06/2020,08/06/2021,RETAIL
ACCT-100147,213.72,NY,02/23/2024,02/23/2025,medical
ACCT-100148,171.31,NY,05/14/2019,05/14/2020,CREDIT CARD
ACCT-100149,180.30,NY,01/23/2019,01/23/2020,medical
ACCT-100150,"$3,879.28",OH,02/08/2019,02/08/2020,Credit Card
ACCT-100151,47.12,TX,11/13/2024,11/13/2025,RETAIL
ACCT-100152,54.97,CA,10/06/2022,10/06/2023,CREDIT CARD
ACCT-100153,70.48,TX,12/09/2019,12/09/2020,medical
ACCT-100154,102.20,TX,09/24/2022,09/24/2023,CREDIT CARD
ACCT-100155,61.00,TX,12/18/2021,12/18/2022,CREDIT CARD
ACCT-100156,112.64,TX,08/19/2019,08/19/2020,RETAIL
ACCT-100157,"$7,481.47",TX,03/04/2023,03/04/2024,TELECOM
ACCT-100158,162.71,OH,06/23/2024,06/23/2025,Credit Card
ACCT-100159,38.36,FL,02/02/2021,02/02/2022,Credit Card
ACCT-100160,"$7,095.41",NY,02/13/2021,02/13/2022,Credit Card
ACCT-100161,65.15,NY,03/18/2023,03/18/2024,medical
ACCT-100162,53.63,TX,03/04/2023,03/04/2024,Credit Card
ACCT-100163,29.77,TX,,10/25/2022,medical
ACCT-100164,66.56,NY,08/13/2020,08/13/2021,medical
ACCT-100165,88.38,TX,09/13/2021,09/13/2022,CREDIT CARD
ACCT-100166,88.86,NY,11/28/2021,11/28/2022,TELECOM
ACCT-100167,185.67,FL,08/22/2024,08/22/2025,medical
ACCT-100168,171.12,TX,03/15/2024,03/15/2025,CREDIT CARD
ACCT-100169,16.71,NY,06/12/2019,06/12/2020,CREDIT CARD
ACCT-100170,141.89,FL,,10/19/2023,TELECOM
ACCT-100171,127.45,NY,04/10/2019,04/10/2020,RETAIL
ACCT-100172,26.65,CA,11/10/2022,11/10/2023,TELECOM
ACCT-100173,109.96,NY,06/19/2020,06/19/2021,medical
ACCT-100174,172.03,NY,10/08/2023,10/08/2024,Credit Card
ACCT-100175,29.71,TX,12/24/2019,12/24/2020,CREDIT CARD
ACCT-100176,148.75,TX,01/01/2024,01/01/2025,Credit Card
ACCT-100177,53.43,NY,10/20/2023,10/20/2024,CREDIT CARD
ACCT-100178,"$6,573.34",TX,10/10/2023,10/10/2024,Credit Card
ACCT-100179,172.32,FL,12/08/2020,12/08/2021,RETAIL
ACCT-100180,205.13,TX,11/24/2021,11/24/2022,Credit Card
ACCT-100181,79.74,NY,03/24/2024,03/24/2025,Credit Card
ACCT-100182,244.76,NY,02/20/2022,02/20/2023,TELECOM
ACCT-100183,191.31,TX,02/12/2021,02/12/2022,RETAIL
ACCT-100184,165.48,FL,04/06/2023,04/06/2024,Credit Card
ACCT-100185,234.09,NY,12/01/2022,12/01/2023,RETAIL
ACCT-100186,"$4,942.16",TX,12/09/2019,12/09/2020,RETAIL
ACCT-100187,202.02,TX,08/10/2019,08/10/2020,CREDIT CARD
ACCT-100188,40.69,TX,07/10/2020,07/10/2021,medical
ACCT-100189,"$4,386.62",CA,06/18/2022,06/18/2023,medical
ACCT-100190,174.69,TX,11/14/2020,11/14/2021,TELECOM
ACCT-100191,56.21,TX,,03/20/2021,TELECOM
ACCT-100192,73.88,NY,09/13/2024,09/13/2025,RETAIL
ACCT-100193,144.08,TX,04/26/2023,04/26/2024,RETAIL
ACCT-100194,43.02,TX,08/04/2024,08/04/2025,CREDIT CARD
ACCT-100195,162.43,OH,11/03/2023,11/03/2024,RETAIL
ACCT-100196,139.14,TX,,11/14/2020,CREDIT CARD
ACCT-100197,31.59,TX,01/16/2022,01/16/2023,CREDIT CARD
ACCT-100198,167.81,NY,11/20/2023,11/20/2024,RETAIL
ACCT-100199,232.33,TX,09/06/2021,09/06/2022,Credit Card
